feature,importance
items_days_since_last_item,0.28582998084212946
coll_days_since_last_item,0.1419248061041773
user_player_lifespan_days,0.1156400754825038
char_last_updated_days_ago,0.07735969462515711
reward_last_claim_days_ago,0.07432094290059654
reward_current_day_max,0.061820082613282736
coll_first_item_days_ago,0.049214683534007826
reward_first_created_days_ago,0.016384503776496882
items_first_item_days_ago,0.013880866581485235
country,0.009574006145707777
coll_collection_span_days,0.008392187734216947
coll_items_last_30d,0.00822021977930651
reward_claim_rate,0.008195116250239491
user_created_at_days_ago,0.007475411486503052
char_first_created_days_ago,0.006832867356454595
items_mean_defense,0.006502605439035852
device_days_since_last_active,0.00614902501370035
items_attack_defense_ratio,0.005903405839753969
char_talent_total_max,0.005441630527386194
items_mean_attack,0.005190401462112281
device_first_seen_days_ago,0.005117784306799896
char_experience_mean,0.004751534336927972
char_experience_max,0.004488961446931898
coll_total_items,0.00428983218631237
items_mean_enhance_level,0.00422157251776229
char_attack_max,0.004007866570851375
char_defense_max,0.003915633627440536
char_attack_defense_sum_max,0.0037151911324749716
char_level_max,0.003681205437258989
items_total_enhance_invested,0.00355498552595099
char_level_mean,0.0034233772748813018
items_total_instances,0.003394274542702925
coll_items_last_90d,0.0033171178017343036
items_unique_definitions,0.003280399513159254
char_talent_spent_max,0.0029699735103643557
language,0.002949682585586209
has_user_rated_app,0.002835756011830388
user_store_where_published,0.002288100850586732
items_redundancy_ratio,0.002181595527717435
device_primary_platform,0.0021145908553409087
focus,0.0017536414281831354
char_talent_pct_spent,0.0015966160701152941
char_cosmetic_score,0.001535571222778278
items_mean_critical,0.001512552462586971
items_max_enhance_level,0.0014634340628367271
char_arena_category_max,0.0012491639506674202
char_class_main,0.001095529642332189
char_critical_chance_max,0.000872768576329832
reward_ad_days_max,0.0008079962813007177
char_medals_max,0.0006022763776265874
char_equip_slots_filled_max,0.0005636701398864666
coll_unique_families,0.000358091000328499
char_count,0.0003229254710730771
char_classes_unique,0.0002599796809636927
device_has_ios,0.00023719054534333838
is_google_play,0.00019255867129187176
reward_has_ad,0.00018650713250243864
device_records_total,0.0001692746171036734
device_has_android,0.00015765110202605424
device_unique_models,0.00014136226871202227
char_has_multiple,0.0001225176193751059
reward_records_total,4.677261976769057e-05
